UA,Lat,Long,anom_lst_mean,anom_ndvi_mean,anom_prec_mean,anom_rad_mean,anom_umid_mean
170,-28.080499,-49.136915,0.627531388079209,0.03251739130434794,-0.47904269999999993,0.4383100238770048,-1.947205784246819
172,-28.080691,-48.960733,0.5268753100015147,0.025044099378882412,-0.4439663999999999,0.4279629014575903,-1.8429285910356157
173,-28.079961,-48.869911,0.6894652738565412,0.01638240165631455,-0.5742614000000001,0.4224569451902731,-1.5701777254526803
174,-28.079979,-48.780013,0.7513616653879396,0.018181573498964987,-0.5485837,0.41460150902932114,-1.0500423729001795
175,-28.080009,-48.690006,0.7405125523012259,0.01829523809523803,-0.5677394000000007,0.40340852983023545,-0.5384334361826291
177,-27.990802,-50.758215,1.3227927927927503,0.02725734989648021,0.5575970000000003,0.45248563871829717,-1.1787450515209486
188,-27.990133,-49.767671,0.9343698858853884,0.004042028985507651,-0.05788299999999946,0.4274545957229936,-0.7224201054618646
191,-28.012936,-49.491881,1.2280453625274639,0.01876790890269142,-0.2908950000000008,0.4414449748385021,-1.0129862904250047
192,-27.992173,-49.41219,1.1325071486927953,0.02388012422360286,-0.3459759,0.44730456121486917,-1.118404012462591
193,-27.988858,-49.320053,1.035407133692562,0.020932091097308203,-0.38722860000000026,0.4478520020664014,-1.2884567411010153
194,-27.98959,-49.230917,0.8668628058916354,0.027670186335403857,-0.4412598000000001,0.4478520020664014,-1.2884567411010153
196,-27.98904,-49.048792,0.616637012538451,0.024893995859213147,-0.526573,0.44128492495532257,-1.5601651260821399
197,-27.993877,-48.9599,0.5910233552824842,0.03259979296066262,-0.5462599999999993,0.43732580992327286,-1.451383492170038
198,-27.990081,-48.869688,0.774333449680018,0.028970393374741166,-0.6164717,0.4333920208050319,-1.1935287563386794
199,-27.989878,-48.77991,0.7823587695948113,0.015251759834368439,-0.5768329999999997,0.43060770156901285,-0.8908417786201852
206,-27.901381,-50.579514,1.2041452934662082,0.008851345755693685,0.4442972999999997,0.4171355611848888,-1.047650376378769
208,-27.900265,-50.399912,0.6234408866995444,0.03545051759834372,0.34163370000000004,0.3988507704373241,-0.9216723773238016
211,-27.900401,-50.129431,1.199432041741531,0.02239627329192595,0.015221499999999999,0.38802202319955725,-0.7090348104691344
214,-27.899998,-49.860002,1.0294902183998502,0.02360973084886131,-0.11242190000000019,0.40388577586321084,-0.6462019303439064
217,-27.9,-49.590005,1.0797881688232849,0.021408074534161048,-0.28544190000000036,0.4167996923594295,-0.8011056546393718
218,-27.90127,-49.497506,0.8957827490124224,0.020151138716355987,-0.2445283000000007,0.42277271206706324,-0.9183963508774724
221,-27.900071,-49.23011,0.8278606218178481,0.030749689440993877,-0.43309199999999937,0.43204601967525846,-1.0198202725034378
225,-27.89829,-48.872028,0.7054335291706337,0.026160662525879452,-0.6369047999999999,0.44094723235128974,-0.9658591378897654
242,-27.809913,-49.949884,1.0898554561717297,0.006544927536231815,-0.14396900000000024,0.3719197067033502,-0.6083780661444393
246,-27.810002,-49.590001,1.0306581190813375,0.01122774327122189,-0.34745459999999984,0.39087929767382157,-0.7849413773347607
249,-27.811772,-49.322116,0.854206185567012,0.02412443064182168,-0.34998660000000026,0.41376382252000354,-0.8765512330889891
251,-27.809991,-49.140081,0.4118097346762113,0.025462525879916598,-0.48428870000000046,0.43009892102370095,-0.9043573543216183
253,-27.809636,-48.960908,0.9249249851315433,0.010504347826086557,-0.6282863000000001,0.43912579443891886,-0.9572360229834942
254,-27.809992,-48.86683,0.7218516519757543,0.014722774327122212,-0.6478060000000001,0.4484335065147178,-0.6557844781520998
255,-27.809935,-48.780222,0.5976430527955152,0.015060869565217794,-0.6478060000000001,0.4484335065147178,-0.6557844781520998
256,-27.810041,-48.68992,0.667625221214319,0.024434161490683337,-0.6767475000000003,0.4361876407934364,-0.4998334241568614
260,-27.716863,-51.117105,0.6174846326976002,0.028879917184264525,0.42761470000000035,0.4159132420303795,-1.042460443317097
261,-27.717497,-51.028739,0.8219645030494043,0.02562008281573469,0.4792246000000002,0.4255805870558209,-1.0014408014978784
279,-27.722096,-49.409204,1.1159591194968321,0.00011014492753647076,-0.18799599999999916,0.39010748421531183,-0.7846663316355773
281,-27.720974,-49.229168,0.861908866112369,0.01266811594202899,-0.3102729999999996,0.4046165375713464,-0.7465136302990345
284,-27.720012,-48.960084,0.6541327199362428,0.00876749482401673,-0.7421350000000002,0.4364280543527119,-0.7131166233559014
285,-27.718777,-48.871509,0.7237986340389568,0.0005610766045549553,-0.7826833000000004,0.44100012147384504,-0.7329809706075707
286,-27.720009,-48.779958,0.7765574460805773,0.022515734989647873,-0.7922789999999997,0.4348793050161781,-0.6019970270422306
287,-27.717773,-48.692396,0.7808903082078018,0.013395859213249595,-0.9567223,0.4310861647392308,-0.4998086333529699
297,-27.632026,-50.578673,0.7200419048336073,0.024116770186335623,0.34709460000000014,0.38336375106202425,-0.8699325389126074
301,-27.630834,-50.219977,1.1539308112846882,0.02122629399585907,0.13346000000000036,0.3491250618473192,-0.7249538474520847
304,-27.630717,-49.950454,0.5722174999774587,0.01559047619047571,-0.35940500000000064,0.3469780391298585,-0.6504212674301044
308,-27.630004,-49.590005,0.8305505258592767,0.010537060041407531,-0.20012700000000017,0.37410324508522663,-0.707933152830563
309,-27.630007,-49.500032,0.11846219761554622,0.03485693581780547,-0.1735981999999998,0.38083833941283984,-0.7987544417373726
310,-27.629033,-49.410096,1.1609587921499376,0.005062318840580282,-0.1189979999999995,0.3923330422747604,-0.7403922955142974
311,-27.631126,-49.320431,0.9940171471363044,-0.003703312629399713,-0.23537300000000005,0.40731442790087335,-0.6560204461476644
312,-27.630001,-49.233553,0.5536911778088474,0.023179917184265597,-0.2679407000000005,0.40731442790087335,-0.6560204461476644
313,-27.629691,-49.144182,0.630841410259741,0.00541304347826066,-0.37761960000000006,0.4178787459791842,-0.5940838776108421
314,-27.630293,-49.049307,0.5026296385690223,0.01452111801242184,-0.5231967000000006,0.4239543527191696,-0.5782399548594981
316,-27.630056,-48.870037,0.6811827194836191,0.012106004140787108,-0.7247783999999999,0.43423081795591756,-0.6780201120333089
317,-27.62898,-48.780724,0.6672372523980741,0.004066873706003893,-0.7930183,0.4309269934656541,-0.7409748885709462
318,-27.63005,-48.691554,1.1850362923637263,-0.04820393374741161,-0.8977696000000002,0.43026324459435195,-0.6336464830098834
321,-27.540006,-51.48001,0.26557260161889573,0.023684265010352257,-0.04150450000000028,0.3526495661284095,-1.0890470063340274
328,-27.539182,-50.849065,0.6226462629808331,0.006761904761904747,0.44403600000000054,0.4196419289620241,-0.9660514752151954
336,-27.541056,-50.130154,1.2194973280789512,-0.003001035196687485,0.07927799999999952,0.34342051863979073,-0.6884543816698994
