system:index,Lat,Long,UA,altitude,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,.geo
1_2_0000000000000000001d_0,-28.348173,-49.319101,97,163,ciclo1,28.178000000000033,22.893415824915852,15.521666666666698,4.544359010458411,0.8438833333333333,0.804946527777778,0.7578333333333332,0.028292794417531648,697.8212242126465,417.5074952840805,181.70850157737732,148.3423836173656,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.32200067458233,-28.346338790391503]}"
1_2_0000000000000000001e_0,-28.352694,-49.231971,98,340,ciclo1,28.57800000000003,23.07003282828286,16.151666666666685,4.447180865994456,0.8456833333333335,0.8010251388888889,0.7503500000000001,0.03488177815094085,740.0183706283569,412.0479084948699,172.99188649654388,161.72064474258573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.23216914617038,-28.3553219432327]}"
1_2_0000000000000000001f_0,-28.260212,-50.670125,104,780,ciclo1,25.531666666666695,20.022030303030334,11.305000000000035,4.63235029444011,0.8782000000000001,0.825196388888889,0.7241500000000001,0.04575861682581506,773.6516532897949,430.49855756759644,299.6613438129425,129.02557326279342,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.66947360076161,-28.25650726197955]}"
1_2_00000000000000000020_0,-28.260661,-49.86161,113,1426,ciclo1,25.455000000000027,19.84658164983168,12.193333333333365,4.16515183184754,0.7657000000000002,0.6904669444444443,0.6169199999999999,0.05460248748672333,761.0939106941223,457.38757822910947,260.74512910842896,131.84129185368084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.86098984505404,-28.25650726197955]}"
1_2_00000000000000000021_0,-28.260536,-49.76909,114,1440,ciclo1,24.62666666666669,19.302558080808108,12.631818181818206,3.9320537997064773,0.7883,0.7397144444444446,0.6684400000000001,0.03624096322439506,748.5518560409546,453.5629429916541,266.2954318523407,133.49551932569798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.771158316642094,-28.25650726197955]}"
1_2_00000000000000000022_0,-28.260198,-49.499514,117,805,ciclo1,26.10714285714289,19.904056517556548,14.29333333333336,3.6807834993510857,0.8861166666666668,0.8015409722222223,0.5614250000000001,0.0992031291193184,692.7172470092773,433.5221407810847,241.23682689666748,139.57465380274158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.50166373140623,-28.25650726197955]}"
1_2_00000000000000000023_0,-28.259786,-49.411941,118,337,ciclo1,27.781111111111144,23.1126001683502,16.54666666666669,3.8823346595979866,0.8218666666666666,0.7534744444444444,0.64415,0.04997031580577001,676.8412556648254,428.9072547356288,201.84838199615479,139.38219475473568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41183220299428,-28.25650726197955]}"
1_2_00000000000000000024_0,-28.260778,-49.319129,119,287,ciclo1,28.266000000000037,23.288114478114505,16.718333333333366,4.149795904562618,0.7879,0.7173031944444445,0.6060500000000001,0.057064937800176276,691.6121883392334,424.65343205134076,182.94909620285034,148.1232968098355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.32200067458233,-28.25650726197955]}"
1_2_00000000000000000025_0,-28.259529,-49.049247,122,194,ciclo1,29.21444444444448,23.846425084175113,16.971666666666696,4.302374680905827,0.8405666666666667,0.8025022222222221,0.7615333333333334,0.027468774505603356,700.2066421508789,428.66961485147476,180.3095555305481,152.15218814924336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.05250608934647,-28.25650726197955]}"
1_2_00000000000000000026_0,-28.262477,-48.959494,123,400,ciclo1,28.3566666666667,23.18604208754212,16.56833333333336,3.8135892799768896,0.8762833333333333,0.8232004166666668,0.623075,0.0661503828063623,666.6626243591309,424.0914132992427,179.12926244735718,150.8161741265194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.96267456093452,-28.265490414820746]}"
