system:index,Lat,Long,UA,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,rad_mean,rad_sd,umid_mean,umid_sd,.geo
1_1_00000000000000000021_0,-28.260536,-49.76909,114,ciclo1,31.83000000000004,18.743884615384637,4.410000000000025,5.082924838098962,0.8241,0.7389811594202903,0.5660000000000001,0.0542608575266253,80.3619,4.970553,0.0,11.427285185384667,13.397566909653053,5.746249000964461,82.25168581342236,9.19623887975251,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.78912462232448,-28.27447356766194]}"
1_1_00000000000000000022_0,-28.260198,-49.499514,117,ciclo1,31.390000000000043,18.937196652719685,5.57000000000005,5.079271527907858,0.8272,0.7243217391304348,0.3094,0.09486622750807062,88.33276,4.7509274,0.0,11.125111846790507,13.04298283659371,5.629569072347051,83.23956507939175,8.05195157321859,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.51963003708862,-28.27447356766194]}"
1_1_00000000000000000023_0,-28.259786,-49.411941,118,ciclo1,33.77000000000004,22.399234135667434,8.610000000000014,4.850521646685157,0.8607,0.787853623188406,0.4539,0.056801767118129225,100.382065,4.7003536,0.0,11.372016550479136,12.88329672335168,5.578996676864151,83.24657699047647,7.5713829763183105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42979850867667,-28.27447356766194]}"
1_1_00000000000000000024_0,-28.260778,-49.319129,119,ciclo1,33.950000000000045,22.43126086956526,7.850000000000023,5.045929497839199,0.8407,0.7537855072463766,0.5082,0.0564813404492658,99.33601,4.653736,0.0,12.087071956476832,12.911929393671318,5.529629283597224,82.4860701503786,7.219252870968822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.33996698026472,-28.27447356766194]}"
1_1_00000000000000000025_0,-28.259529,-49.049247,122,ciclo1,35.710000000000036,22.79800000000004,6.930000000000007,5.089844749984707,0.8548,0.7941652173913045,0.5513,0.04704733301466632,99.185265,4.697749,0.0,11.943009541758855,13.135530805543468,5.544919362935876,80.24567563497452,7.179085565485947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.07047239502886,-28.27447356766194]}"
1_1_00000000000000000026_0,-28.262477,-48.959494,123,ciclo1,36.670000000000016,23.877500000000037,7.090000000000032,5.346807497625692,0.8161,0.7483057971014493,0.5035000000000001,0.05049038044141157,100.62305,4.6475773,0.0,12.050177938281534,13.346231923351686,5.599642074605637,80.3178022252735,6.9517012492978685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.98064086661691,-28.27447356766194]}"
1_1_00000000000000000027_0,-28.169917,-50.130437,134,ciclo1,33.93000000000001,20.607558139534913,5.810000000000002,5.8200068800499904,0.7886000000000001,0.6886333333333333,0.42310000000000003,0.07244798167174349,73.55814,4.8534255,0.0,11.395517753801398,13.511200712392807,5.750908947934093,80.34503719177617,9.036574279719593,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.14845073597228,-28.184642039249987]}"
1_1_00000000000000000028_0,-28.169123,-49.86203,137,ciclo1,31.930000000000007,19.35916030534351,4.510000000000048,5.273442614159953,0.8109000000000001,0.7235753623188405,0.3789,0.0634655227772583,85.984146,4.8569913,0.0,11.389621020873447,13.298342476776336,5.66523096589744,81.50676938257452,9.366851054329974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.87895615073643,-28.184642039249987]}"
1_1_00000000000000000029_0,-28.169105,-49.68004,139,ciclo1,31.450000000000045,19.101589147286862,4.430000000000007,5.245492693602891,0.8300000000000001,0.7329681159420293,0.5182,0.06540989042962331,78.86019,4.812428,0.0,10.905490726452793,13.207627565360815,5.680492541398749,83.1002347587681,9.355240355714745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.69929309391252,-28.184642039249987]}"
1_1_0000000000000000002a_0,-28.170285,-49.590092,140,ciclo1,31.650000000000034,18.744444444444476,5.230000000000018,5.258397298766525,0.8121,0.7080942028985509,0.6046,0.06278243519721265,93.430756,4.763362,0.0,11.235994632526198,13.112806684995531,5.6491338935968445,83.40316422374983,8.811254607584171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.609461565500574,-28.184642039249987]}"
1_1_0000000000000000002b_0,-28.172088,-49.495816,141,ciclo1,32.110000000000014,19.044965357967705,7.53000000000003,4.853222977228444,0.9021,0.825823188405797,0.2884,0.11173542137493563,96.51823,4.7076674,0.0,10.988371532407808,13.073266310566284,5.60839499423419,83.57638540840864,8.107402626986811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.47471427288264,-28.184642039249987]}"
1_1_0000000000000000002d_0,-28.170117,-49.32228,143,ciclo1,35.93000000000001,21.65360086767899,8.310000000000002,5.03027968555226,0.8749,0.7964014492753624,0.5231,0.0553200136563891,108.26119,4.7600617,0.0,11.788599022932036,12.80064362015535,5.4818783584181485,83.13282514058356,7.34746069127875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.33996698026472,-28.184642039249987]}"
1_1_0000000000000000002e_0,-28.169306,-49.049919,146,ciclo1,36.55000000000001,23.07646934460889,8.53000000000003,5.139674269218828,0.8457,0.7743768115942028,0.4151,0.05329797055420057,138.9246,4.8690696,0.0,12.802044988503422,12.891657784538895,5.431453413809341,81.55382168557347,7.3767563133117156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.07047239502886,-28.184642039249987]}"
