UA,Lat,Long,anom_lst_max,anom_lst_mean,anom_lst_min,anom_lst_sd,anom_ndvi_max,anom_ndvi_mean,anom_ndvi_min,anom_ndvi_sd,anom_prec_max,anom_prec_mean,anom_prec_min,anom_prec_sd,anom_rad_mean,anom_rad_sd,anom_umid_mean,anom_umid_sd
114,-28.260536,-49.76909,-0.10000000000002629,0.8449543939032971,-0.30000000000001137,0.23264987828058104,0.018299999999999983,0.019843685300206637,-0.21530000000000005,-0.0001521470407723005,-1.5196450000000112,0.049475600000000064,0.0,-0.820498208124512,0.5125641043881064,0.18924551699950065,-1.2281914817927628,0.23632003312255456
117,-28.260198,-49.499514,-0.5600000000000023,0.611914458391464,-2.2800000000000296,0.05693986986705646,0.024800000000000044,0.04764658385093179,0.0645,-0.025304504237349895,-0.06488999999999123,-0.07723239999999976,0.0,-1.0883185475113155,0.4997392869935986,0.15435284658872828,-1.4958865571873048,0.49238836257075924
118,-28.259786,-49.411941,1.920000000000016,0.7557920423430708,0.819999999999995,0.20038574585055358,0.017900000000000027,0.023030848861283593,0.15960000000000002,-0.015349724096295994,-5.774914999999993,-0.09505559999999935,0.0,-1.2800631571623384,0.4871057852121723,0.14381878038578133,-1.5861046017288913,0.6828902585001027
119,-28.260778,-49.319129,2.2199999999999704,0.8521117124364359,0.660000000000025,0.21370121188241153,0.022199999999999998,0.013522567287784781,0.058499999999999996,-0.007954380566914304,-8.481139999999996,-0.12434040000000035,0.0,-2.43043398371894,0.46871179094887516,0.14514110205769626,-1.8629403761066072,0.8506304587012137
122,-28.259529,-49.049247,0.3199999999999861,0.9502601491300702,1.7000000000000455,0.21716207247945096,0.06320000000000003,0.006600621118012184,0.02410000000000001,0.0020447241354326004,-11.317525000000003,-0.2214077999999997,0.0,-2.2663243167473546,0.43520136499219575,0.15592107842865754,-2.5175292366181594,1.2427063383769514
123,-28.262477,-48.959494,2.1399999999999864,1.055043640897761,1.0400000000000205,0.21748979279719993,0.04200000000000004,0.01375693581780546,0.10619999999999996,-0.004361662584045398,27.679990000000004,-0.23188350000000035,0.0,-2.3612423090610903,0.42586580586943334,0.1622504854374931,-2.2644921670279246,1.028979589546143
134,-28.169917,-50.130437,2.240000000000009,1.337867221620808,-1.2399999999999523,0.038901410749573984,0.03079999999999994,0.028453623188406274,0.012900000000000023,-0.015904299738983003,11.91622000000001,0.1316790999999995,0.0,-0.5677618093049883,0.47004959116321565,0.22740501695988868,-1.1077363090142711,0.6818390652663027
137,-28.169123,-49.86203,0.8799999999999955,0.7354088646169572,-0.30000000000001137,-0.002267662809313009,0.028200000000000003,0.02707556935817812,0.15170000000000006,-0.015078056972997897,-10.828395999999998,0.06521370000000015,0.0,-0.8453587265844984,0.4788150317875264,0.20983326586518025,-1.0849830271662455,0.32742998807088775
139,-28.169105,-49.68004,0.3199999999999932,0.9121479865215392,-0.01999999999998181,0.04007150373573154,0.02169999999999994,0.024336231884057535,-0.1356,-0.0070384642242806925,-0.5889039999999994,-0.05961850000000002,0.0,-0.7809829234752694,0.4944100707460457,0.1853025151722365,-1.0797377773496066,0.0954400238943851
140,-28.170285,-49.590092,0.0,0.8101089152393293,-3.319999999999993,0.2351607951957515,0.01770000000000005,0.01693312629399557,-0.13890000000000002,-0.004400648294657604,-18.444255999999996,-0.07178169999999984,0.0,-1.283697619864542,0.4903739957123161,0.17451996232853606,-1.191281904801997,0.23593832393787828
